link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501189128.html,"11,700,000",EGP,Apartment,2.0,2.0,120 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 2,340,000",
https://www.bayut.eg/en/property/details-501189109.html,"10,719,300",EGP,Villa,3.0,3.0,186 Sq. M.,"Levels By Dunes Compound, Sheikh Zayed, Giza","EGP 1,071,930",Off-Plan
https://www.bayut.eg/en/property/details-501189057.html,"3,200,000",EGP,Apartment,2.0,2.0,121 Sq. M.,"The Address East Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189049.html,"3,000,000",EGP,Apartment,2.0,2.0,140 Sq. M.,"The Address East Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501188909.html,"14,060,000",EGP,Apartment,3.0,3.0,154 Sq. M.,"Garden Lakes, 6th of October, Giza","EGP 700,000",Off-Plan
https://www.bayut.eg/en/property/details-501188750.html,"19,528,000",EGP,Townhouse,4.0,4.0,220 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 1,950,000",
https://www.bayut.eg/en/property/details-501188722.html,"13,400,000",EGP,Apartment,2.0,2.0,141 Sq. M.,"Village West Compound, Sheikh Zayed, Giza","EGP 1,340,000",
https://www.bayut.eg/en/property/details-501188635.html,"9,844,000",EGP,Apartment,3.0,2.0,140 Sq. M.,"Mountain View iCity Compound, 6th of October, Giza","EGP 980,000",Off-Plan
https://www.bayut.eg/en/property/details-501188617.html,"4,807,000",EGP,Apartment,3.0,2.0,155 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 240,350",
https://www.bayut.eg/en/property/details-501188613.html,"7,000,000",EGP,Apartment,2.0,2.0,140 Sq. M.,"Taj City Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501188575.html,"16,500,000",EGP,Villa,4.0,2.0,212 Sq. M.,"Mostakbal City, Cairo","EGP 825,000",Off-Plan
https://www.bayut.eg/en/property/details-501188515.html,"4,760,000",EGP,Apartment,2.0,2.0,158 Sq. M.,"New Capital City, Cairo","EGP 238,000",
https://www.bayut.eg/en/property/details-501188450.html,"7,300,000",EGP,Apartment,3.0,2.0,125 Sq. M.,"Kayan, 6th of October, Giza","EGP 4,300,000",
https://www.bayut.eg/en/property/details-501188315.html,"8,700,000",EGP,Apartment,1.0,2.0,80 Sq. M.,"O West Compound, 6th of October, Giza","EGP 870,000",Off-Plan
https://www.bayut.eg/en/property/details-501188286.html,"12,000,000",EGP,Apartment,2.0,2.0,114 Sq. M.,"O West Compound, 6th of October, Giza","EGP 1,200,000",Off-Plan
https://www.bayut.eg/en/property/details-501188070.html,"18,300,000",EGP,Townhouse,3.0,4.0,200 Sq. M.,"Hills of one Compound, Sheikh Zayed, Giza","EGP 5,400,000",Off-Plan
https://www.bayut.eg/en/property/details-501188032.html,"6,500,000",EGP,Apartment,3.0,2.0,220 Sq. M.,"5th Settlement, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501187805.html,"4,200,000",EGP,Apartment,3.0,3.0,154 Sq. M.,"Village West Compound, Sheikh Zayed, Giza",,Off-Plan
https://www.bayut.eg/en/property/details-501187741.html,"4,650,000",EGP,Apartment,3.0,3.0,206 Sq. M.,"ZED West Compound, Sheikh Zayed, Giza",,Off-Plan
https://www.bayut.eg/en/property/details-501189539.html,"25,290,000",EGP,Villa,4.0,4.0,281 Sq. M.,"Badya Palm Hills Compound, 6th of October, Giza",,
https://www.bayut.eg/en/property/details-501188874.html,"9,910,000",EGP,Apartment,2.0,2.0,104 Sq. M.,"Garden Lakes, 6th of October, Giza","EGP 500,000",Off-Plan
https://www.bayut.eg/en/property/details-501188630.html,"6,500,000",EGP,Villa,4.0,3.0,256 Sq. M.,"Hyde Park New Cairo Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501188477.html,"4,760,000",EGP,Apartment,2.0,2.0,158 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 238,000",
https://www.bayut.eg/en/property/details-501189514.html,"17,906,000",EGP,Townhouse,3.0,3.0,194 Sq. M.,"Badya Palm Hills Compound, 6th of October, Giza","EGP 895,300",Off-Plan
